dataset,source,domain,description,collection_notes,manual_tags,blank_manual_metadata_fields,source_rows,usable_rows,train_rows,test_rows,raw_feature_count,processed_feature_count,categorical_expansion_factor,numeric_feature_count,categorical_feature_count,ordinal_feature_count,binary_feature_count,continuous_feature_count,discrete_numeric_feature_count,class_count,smallest_class_size,largest_class_size,imbalance_ratio,majority_class_fraction,normalised_class_entropy,total_missing_feature_values,rows_with_missing_feature_values,missing_row_fraction,missing_cell_fraction,columns_with_missing_values,maximum_feature_missing_fraction,sample_size_group,raw_feature_count_group,processed_feature_count_group,class_count_group,datatype_group,imbalance_group,numeric_imputation,categorical_imputation,categorical_encoding,one_hot_drop
balance-scale,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",625,625,500,125,4,4,1.0,4,0,4,0,0,0,3,49,288,5.877551020408164,0.4608,0.831638758545922,0,0,0.0,0.0,0,0.0,medium,low,low,low,numeric,high,median,most_frequent,one_hot,first
contraceptive-method-choice,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",1473,1473,1178,295,9,11,1.2222222222222223,5,4,3,3,2,2,3,333,629,1.8888888888888888,0.4270196877121521,0.971022710347714,0,0,0.0,0.0,0,0.0,medium,medium,medium,low,mixed,moderate,median,most_frequent,one_hot,first
credit-approval,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",690,690,552,138,15,37,2.466666666666667,6,9,0,4,6,2,2,307,383,1.247557003257329,0.5550724637681159,0.9912308989033521,67,37,0.0536231884057971,0.006473429951690821,7,0.01884057971014493,medium,medium,high,low,mixed,balanced,median,most_frequent,one_hot,first
ctg-10classes,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",2126,2126,1700,426,21,21,1.0,21,0,1,1,19,12,10,53,579,10.924528301886792,0.27234242709313267,0.877007660935118,0,0,0.0,0.0,0,0.0,medium,high,high,high,numeric,extreme,median,most_frequent,one_hot,first
heart-disease,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",303,303,242,61,13,20,1.5384615384615385,5,8,0,3,5,4,5,13,164,12.615384615384615,0.5412541254125413,0.7950040265746733,6,6,0.019801980198019802,0.0015232292460015233,2,0.013201320132013201,small,medium,medium,medium,mixed,extreme,median,most_frequent,one_hot,first
image-segmentation,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",2310,2310,1848,462,18,18,1.0,18,0,0,0,18,0,7,330,330,1.0,0.14285714285714285,1.0,0,0,0.0,0.0,0,0.0,medium,medium,medium,medium,numeric,balanced,median,most_frequent,one_hot,first
iris,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",150,150,120,30,4,4,1.0,4,0,0,0,4,0,3,50,50,1.0,0.3333333333333333,1.0,0,0,0.0,0.0,0,0.0,small,low,low,low,numeric,balanced,median,most_frequent,one_hot,first
letter,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",20000,20000,16000,4000,16,16,1.0,16,0,0,0,16,16,26,734,813,1.1076294277929155,0.04065,0.9998661845262038,0,0,0.0,0.0,0,0.0,large,medium,medium,very_high,numeric,balanced,median,most_frequent,one_hot,first
nursery,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",12960,12960,10368,2592,8,19,2.375,0,8,0,1,0,0,4,330,4320,13.090909090909092,0.3333333333333333,0.8575685799843972,0,0,0.0,0.0,0,0.0,large,low,medium,medium,categorical,extreme,median,most_frequent,one_hot,first
obesity,UCI,,,,[],"[""domain"", ""description"", ""collection_notes"", ""manual_tags""]",2111,2111,1688,423,16,23,1.4375,8,8,0,5,8,0,7,272,351,1.2904411764705883,0.1662719090478446,0.9982953866102063,0,0,0.0,0.0,0,0.0,medium,medium,high,medium,mixed,balanced,median,most_frequent,one_hot,first
